,FullClassPath,Project_x,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Project_y,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
1586,org.gjt.sp.jedit.bufferio.BufferInsertRequest,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BufferInsertRequest,jEdit-v5.5.0/org/gjt/sp/jedit/bufferio/BufferInsertRequest.java,jEdit-5.5.0,BufferInsertRequest,113,0,1,0,0,False,False,3,False,False,2,0,5,7,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1587,org.gjt.sp.jedit.bufferio.BufferLoadRequest,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BufferLoadRequest,jEdit-v5.5.0/org/gjt/sp/jedit/bufferio/BufferLoadRequest.java,jEdit-5.5.0,BufferLoadRequest,384,1,6,0,2,False,False,3,False,False,19,4,12,22,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1588,org.gjt.sp.jedit.bufferio.BufferSaveRequest,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BufferSaveRequest,jEdit-v5.5.0/org/gjt/sp/jedit/bufferio/BufferSaveRequest.java,jEdit-5.5.0,BufferSaveRequest,254,0,3,0,0,False,False,3,False,False,13,1,7,12,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1589,org.gjt.sp.jedit.bufferio.IoTask,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,IoTask,jEdit-v5.5.0/org/gjt/sp/jedit/bufferio/IoTask.java,jEdit-5.5.0,IoTask,7,0,0,0,0,False,False,2,False,False,0,0,1,0,0.0,True,False,False,True,False,public,0,0,0,True,Information Holder
1590,org.gjt.sp.jedit.bufferio.MarkersSaveRequest,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,MarkersSaveRequest,jEdit-v5.5.0/org/gjt/sp/jedit/bufferio/MarkersSaveRequest.java,jEdit-5.5.0,MarkersSaveRequest,146,7,2,0,0,False,False,3,False,False,3,1,5,8,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1591,org.gjt.sp.jedit.bufferset.BufferSet,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BufferSet,jEdit-v5.5.0/org/gjt/sp/jedit/bufferset/BufferSet.java,jEdit-5.5.0,BufferSet,385,5,17,0,6,False,False,2,False,False,24,13,10,27,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1592,org.gjt.sp.jedit.bufferset.BufferSetManager,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BufferSetManager,jEdit-v5.5.0/org/gjt/sp/jedit/bufferset/BufferSetManager.java,jEdit-5.5.0,BufferSetManager,427,1,16,1,3,False,False,3,True,False,17,21,9,49,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1593,org.gjt.sp.jedit.gui.AbbrevEditor,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,AbbrevEditor,jEdit-v5.5.0/org/gjt/sp/jedit/gui/AbbrevEditor.java,jEdit-5.5.0,AbbrevEditor,232,2,7,2,5,False,False,2,True,False,7,2,4,12,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1594,org.gjt.sp.jedit.gui.AbstractContextOptionPane,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AbstractContextOptionPane,jEdit-v5.5.0/org/gjt/sp/jedit/gui/AbstractContextOptionPane.java,jEdit-5.5.0,AbstractContextOptionPane,341,9,5,0,0,False,False,4,False,False,10,2,10,24,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
1595,org.gjt.sp.jedit.gui.ActionBar,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,ActionBar,jEdit-v5.5.0/org/gjt/sp/jedit/gui/ActionBar.java,jEdit-5.5.0,ActionBar,545,7,5,0,2,False,False,2,False,False,33,2,9,60,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
